,案例1,案例2,sim_w2v,sim_original,sim_vsm,sim_Human
15,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器开孔接管区_应力分析.json,0.506,0.498,0.4931969619160719,0.5214470958122162
16,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器开孔补强_应力强度水平，塑性应变量，应力强度.json,0.454,0.416,0.5019578060538687,0.4683333333333333
17,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器开孔补强_应力强度，塑性应变分布.json,0.477,0.461,0.5231143743471868,0.4658771324027147
18,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器快开门法兰_强度评定.json,0.490,0.481,0.5521762840331416,0.47840187787218774
19,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器接管结构_应力分布，强度校核，应力强度分布.json,0.508,0.491,0.47634160003570525,0.56
20,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器斜大开孔_应力分析.json,0.502,0.493,0.5356896807128709,0.49490731195102494
21,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器疲劳分析设计_极限载荷，安定载荷，疲劳寿命，静强度计算，疲劳计算.json,0.456,0.441,0.46788772041903276,0.48175426480542943
22,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器管口_疲劳分析.json,0.437,0.398,0.457891045625714,0.45
23,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器管板_应力场分析，计算应力，计算应变.json,0.483,0.470,0.5151274263289283,0.4683333333333333
24,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\双螺杆挤出机闭合筒体_应力分析，应变分析.json,0.480,0.476,0.4800426723563986,0.5050543486718359
25,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\反应堆压力容器_应力强度因子，热应变，J积分.json,0.508,0.500,0.5521762840331416,0.5298792648054295
26,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\反应堆压力容器_应力强度，疲劳分析，应力分布.json,0.503,0.492,0.4800426723563986,0.528023619385014
27,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\圆柱滚子轴承_应力分布，热应力，最大接触应力.json,0.458,0.458,0.4793012932694108,0.45
28,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\复合材料压力容器_最佳预紧力，疲劳寿命.json,0.477,0.472,0.527981513657892,0.4751738292047284
29,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\复合盾构刀盘_力学性能，应力，变形分布云图.json,0.479,0.467,0.4657971306985123,0.5055699634095016
30,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\封头型式对压力容器_数值模拟，应力分布.json,0.508,0.495,0.5314847358217434,0.4683333333333333
31,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\封头开有极孔的CFRP压力容器壳体_应力分布.json,0.477,0.468,0.4931969619160719,0.4592966968020137
32,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\快开式压力容器异型密封圈_解决密封问题，提高使用寿命.json,0.501,0.489,0.5231143743471868,0.45
33,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\无线充电线圈的铁氧体_铁氧体磁片参数对传输线圈的影响.json,0.416,0.416,0.46499055497527714,0.45
34,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\核压力容器法兰螺栓_最大薄膜应力，最大应力，弯曲应力强度.json,0.456,0.456,0.5102551914095146,0.46944543648263004
35,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\球形压力容器_应力分布.json,0.416,0.408,0.4657971306985123,0.4658771324027147
36,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\球形压力容器_形变分布，应力分布.json,0.475,0.470,0.5074954869911409,0.5239032967428349
37,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\碳纤维缠绕铝内胆压力容器_评估安全可靠性，爆破动力分析.json,0.459,0.450,0.4657971306985123,0.45
38,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\立式Ⅲ类压力容器法兰接头_分析计算，应力评定.json,0.359,0.359,0.40003556029699877,0.45
39,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\管壳式换热器_结构模型优化设计.json,0.469,0.461,0.4793012932694108,0.45
40,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\薄板压力容器盖_压力分析，热应力分析.json,0.376,0.376,0.457891045625714,0.4683333333333333
41,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\行星滚柱丝杠_模态分析，螺纹啮合部位的静应力，疲劳破坏，疲劳分析.json,0.490,0.482,0.4533736350032653,0.49812500000000004
42,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\钛合金TC4制压力容器筒体_非线性屈曲分析，变形量，临界失稳点.json,0.478,0.466,0.5001930129390556,0.4683333333333333
43,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\颚式破碎机机架_强度分析，刚度分析.json,0.502,0.492,0.5314847358217434,0.5164583333333334
44,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\风机叶轮_变形，应力分布，最大应力，最小应力.json,0.459,0.423,0.4533736350032653,0.493044308566871
45,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\高压低温压力容器_减小设计压力，降低筒体直径，合理进行压力与温度的设计工况组合.json,0.472,0.472,0.4931969619160719,0.45
46,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\高压压力容器筒体与封头连接处_应力分布，第一、第二主应力分析.json,0.483,0.471,0.5231143743471868,0.4866666666666667
47,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\齿啮式压力容器Y形橡胶密封圈_硬度计算.json,0.467,0.461,0.5001930129390556,0.5164583333333334
48,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\齿啮式快开压力容器_塑性载荷计算，应力分析.json,0.464,0.440,0.48648648648648657,0.4866666666666667
49,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,0.494,0.494,0.5008673033404711,0.4581989159174992
50,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\X80钢压力容器_抗拉强度.json,0.372,0.359,0.4811252243246881,0.45
51,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\主蒸汽法兰_压力容器法兰的密封性能.json,0.364,0.359,0.3904344047215152,0.45
52,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\低温分离器_应力分布，弹塑性断裂，应力分析.json,0.380,0.362,0.4383972994809528,0.4581989159174992
53,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\低温液氩储罐_应力分析、应力强度.json,0.499,0.499,0.4573295603800235,0.45
54,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\剖分环式快开门压力容器_应力分布.json,0.458,0.458,0.46420708254852755,0.45
55,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\半内嵌式带肋外墙板_抗风承载力要求.json,0.511,0.491,0.4383972994809528,0.45
56,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\卡箍式快开门压力容器_卡箍应力分布，上下法兰应力分布，压力容器应力分布.json,0.503,0.491,0.4714045207910316,0.45
57,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器_优化设计，数值分析.json,0.506,0.498,0.46420708254852755,0.45
58,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器_应力场分析，计算应力，计算应变，最大位移.json,0.395,0.376,0.4444444444444444,0.4642009389360939
59,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器_强度分析，疲劳寿命计算.json,0.389,0.359,0.41099746826339323,0.45
60,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器_疲劳强度分析.json,0.381,0.367,0.41646336503628284,0.46004158022092806
61,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器不连续区_不连续区优化设计.json,0.378,0.359,0.45643546458763845,0.45
62,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器及管道_局部应力计算.json,0.500,0.491,0.4507489358552088,0.45
63,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器开孔接管区_应力分析.json,0.525,0.511,0.4722222222222222,0.5202777777777778
64,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器开孔补强_应力强度水平，塑性应变量，应力强度.json,0.518,0.515,0.5088816890758623,0.4642009389360939
65,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器开孔补强_应力强度，塑性应变分布.json,0.518,0.502,0.5008673033404711,0.46229837387624884
66,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器快开门法兰_强度评定.json,0.505,0.492,0.5008673033404711,0.461
67,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器接管结构_应力分布，强度校核，应力强度分布.json,0.399,0.380,0.4320792826090466,0.47068275109697055
68,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器斜大开孔_应力分析.json,0.535,0.524,0.48591265790377497,0.4673925271309261
69,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器疲劳分析设计_极限载荷，安定载荷，疲劳寿命，静强度计算，疲劳计算.json,0.400,0.376,0.4216370213557839,0.46229837387624884
70,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器管口_疲劳分析.json,0.499,0.491,0.46420708254852755,0.45
71,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\压力容器管板_应力场分析，计算应力，计算应变.json,0.509,0.490,0.49322002520781055,0.4642009389360939
72,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\双螺杆挤出机闭合筒体_应力分析，应变分析.json,0.537,0.531,0.45962735987049386,0.5116810745206126
73,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\反应堆压力容器_应力强度因子，热应变，J积分.json,0.543,0.531,0.5008673033404711,0.5178683372857503
74,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\反应堆压力容器_应力强度，疲劳分析，应力分布.json,0.499,0.480,0.43259045634870014,0.5141666666666667
75,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\圆柱滚子轴承_应力分布，热应力，最大接触应力.json,0.494,0.492,0.4573295603800235,0.45
76,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\复合材料压力容器_最佳预紧力，疲劳寿命.json,0.498,0.491,0.4507489358552088,0.45
77,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\复合盾构刀盘_力学性能，应力，变形分布云图.json,0.508,0.493,0.4444444444444444,0.5141666666666667
78,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\封头型式对压力容器_数值模拟，应力分布.json,0.514,0.495,0.4789474720713998,0.45
79,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\封头开有极孔的CFRP压力容器壳体_应力分布.json,0.492,0.478,0.4444444444444444,0.45
80,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\快开式压力容器异型密封圈_解决密封问题，提高使用寿命.json,0.517,0.498,0.4714045207910316,0.45
81,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\无线充电线圈的铁氧体_铁氧体磁片参数对传输线圈的影响.json,0.515,0.515,0.4714045207910316,0.45
82,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\核压力容器法兰螺栓_最大薄膜应力，最大应力，弯曲应力强度.json,0.515,0.515,0.48686449556014766,0.45
83,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\球形压力容器_应力分布.json,0.368,0.359,0.4166666666666667,0.45
84,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\球形压力容器_形变分布，应力分布.json,0.515,0.507,0.4573295603800235,0.5141666666666667
85,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\碳纤维缠绕铝内胆压力容器_评估安全可靠性，爆破动力分析.json,0.485,0.471,0.4444444444444444,0.45
86,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\立式Ⅲ类压力容器法兰接头_分析计算，应力评定.json,0.439,0.439,0.45962735987049386,0.45869626356546306
87,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\管壳式换热器_结构模型优化设计.json,0.520,0.508,0.4573295603800235,0.45
88,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\薄板压力容器盖_压力分析，热应力分析.json,0.359,0.359,0.4351941398892446,0.45
89,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\行星滚柱丝杠_模态分析，螺纹啮合部位的静应力，疲劳破坏，疲劳分析.json,0.526,0.514,0.43259045634870014,0.5055699634095016
90,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\钛合金TC4制压力容器筒体_非线性屈曲分析，变形量，临界失稳点.json,0.505,0.491,0.4507489358552088,0.45
91,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\颚式破碎机机架_强度分析，刚度分析.json,0.528,0.517,0.4789474720713998,0.5055699634095016
92,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\风机叶轮_变形，应力分布，最大应力，最小应力.json,0.521,0.507,0.43259045634870014,0.49970328627632854
93,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\高压低温压力容器_减小设计压力，降低筒体直径，合理进行压力与温度的设计工况组合.json,0.510,0.510,0.5,0.46058475493514317
94,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\高压压力容器筒体与封头连接处_应力分布，第一、第二主应力分析.json,0.394,0.376,0.4714045207910316,0.4642009389360939
95,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\齿啮式压力容器Y形橡胶密封圈_硬度计算.json,0.497,0.487,0.4507489358552088,0.5055699634095016
96,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,\齿啮式快开压力容器_塑性载荷计算，应力分析.json,0.384,0.359,0.41099746826339323,0.45
97,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\X80钢压力容器_抗拉强度.json,0.559,0.523,0.5783517448238058,0.47750000000000004
98,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\主蒸汽法兰_压力容器法兰的密封性能.json,0.410,0.405,0.44172610429938614,0.49812500000000004
99,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\低温分离器_应力分布，弹塑性断裂，应力分析.json,0.396,0.364,0.46499055497527714,0.461
100,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\低温液氩储罐_应力分析、应力强度.json,0.427,0.427,0.48507125007266594,0.45
101,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\剖分环式快开门压力容器_应力分布.json,0.386,0.386,0.4923659639173309,0.45
102,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\半内嵌式带肋外墙板_抗风承载力要求.json,0.430,0.392,0.46499055497527714,0.4724536559755125
103,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\卡箍式快开门压力容器_卡箍应力分布，上下法兰应力分布，压力容器应力分布.json,0.428,0.392,0.4999999999999999,0.46944543648263004
104,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器_优化设计，数值分析.json,0.429,0.403,0.4923659639173309,0.4724536559755125
105,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器_应力场分析，计算应力，计算应变，最大位移.json,0.400,0.359,0.44194173824159216,0.45
106,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器_强度分析，疲劳寿命计算.json,0.416,0.359,0.4359286452893223,0.45
107,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器_疲劳强度分析.json,0.445,0.410,0.46933398581809777,0.45
108,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器不连续区_不连续区优化设计.json,0.408,0.359,0.48412291827592707,0.45
109,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器及管道_局部应力计算.json,0.433,0.403,0.47809144373375745,0.46944543648263004
110,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器开孔接管区_应力分析.json,0.458,0.422,0.55979286843935,0.4663978318349985
111,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器开孔补强_应力强度水平，塑性应变量，应力强度.json,0.408,0.403,0.508000508000762,0.4724536559755125
112,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器开孔补强_应力强度，塑性应变分布.json,0.435,0.392,0.4999999999999999,0.46944543648263004
113,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器快开门法兰_强度评定.json,0.422,0.386,0.4999999999999999,0.45
114,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器接管结构_应力分布，强度校核，应力强度分布.json,0.400,0.359,0.40437289951289407,0.45
115,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器斜大开孔_应力分析.json,0.437,0.423,0.5153882032022076,0.45
116,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器疲劳分析设计_极限载荷，安定载荷，疲劳寿命，静强度计算，疲劳计算.json,0.402,0.359,0.41926274578121053,0.45
117,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器管口_疲劳分析.json,0.399,0.392,0.4923659639173309,0.4673925271309261
118,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\压力容器管板_应力场分析，计算应力，计算应变.json,0.432,0.392,0.4923659639173309,0.4724536559755125
119,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\双螺杆挤出机闭合筒体_应力分析，应变分析.json,0.438,0.415,0.4588314677411235,0.47750000000000004
120,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\反应堆压力容器_应力强度因子，热应变，J积分.json,0.440,0.404,0.4999999999999999,0.45
121,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\反应堆压力容器_应力强度，疲劳分析，应力分布.json,0.462,0.429,0.4875084344749437,0.45
122,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\圆柱滚子轴承_应力分布，热应力，最大接触应力.json,0.419,0.390,0.5153882032022076,0.4592966968020137
123,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\复合材料压力容器_最佳预紧力，疲劳寿命.json,0.466,0.439,0.5079721589671173,0.46944543648263004
124,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\复合盾构刀盘_力学性能，应力，变形分布云图.json,0.447,0.415,0.4714045207910316,0.47750000000000004
125,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\封头型式对压力容器_数值模拟，应力分布.json,0.440,0.392,0.508000508000762,0.45
126,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\封头开有极孔的CFRP压力容器壳体_应力分布.json,0.435,0.403,0.4714045207910316,0.46944543648263004
127,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\快开式压力容器异型密封圈_解决密封问题，提高使用寿命.json,0.451,0.403,0.4999999999999999,0.4724536559755125
128,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\无线充电线圈的铁氧体_铁氧体磁片参数对传输线圈的影响.json,0.419,0.419,0.4999999999999999,0.4888908729652601
129,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\核压力容器法兰螺栓_最大薄膜应力，最大应力，弯曲应力强度.json,0.419,0.419,0.5163977794943222,0.4888908729652601
130,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\球形压力容器_应力分布.json,0.406,0.384,0.4714045207910316,0.45
131,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\球形压力容器_形变分布，应力分布.json,0.439,0.425,0.5153882032022076,0.45
132,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\碳纤维缠绕铝内胆压力容器_评估安全可靠性，爆破动力分析.json,0.492,0.460,0.5303300858899106,0.4724536559755125
133,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\立式Ⅲ类压力容器法兰接头_分析计算，应力评定.json,0.371,0.359,0.4301545010073033,0.45
134,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\管壳式换热器_结构模型优化设计.json,0.429,0.393,0.48507125007266594,0.4673925271309261
135,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\薄板压力容器盖_压力分析，热应力分析.json,0.359,0.359,0.4615930911724977,0.45
136,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\行星滚柱丝杠_模态分析，螺纹啮合部位的静应力，疲劳破坏，疲劳分析.json,0.451,0.415,0.4588314677411235,0.4724536559755125
137,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\钛合金TC4制压力容器筒体_非线性屈曲分析，变形量，临界失稳点.json,0.443,0.392,0.47809144373375745,0.4724536559755125
138,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\颚式破碎机机架_强度分析，刚度分析.json,0.453,0.420,0.508000508000762,0.4724536559755125
139,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\风机叶轮_变形，应力分布，最大应力，最小应力.json,0.428,0.398,0.4588314677411235,0.45
140,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\高压低温压力容器_减小设计压力，降低筒体直径，合理进行压力与温度的设计工况组合.json,0.427,0.427,0.4714045207910316,0.45
141,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\高压压力容器筒体与封头连接处_应力分布，第一、第二主应力分析.json,0.408,0.359,0.4687499999999999,0.45
142,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\齿啮式压力容器Y形橡胶密封圈_硬度计算.json,0.422,0.398,0.47809144373375745,0.45
143,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,\齿啮式快开压力容器_塑性载荷计算，应力分析.json,0.409,0.359,0.4359286452893223,0.45
